Date,ID,Code,Notes,Description,Receiver,price
9/2/18,3618009W,5,"10/3/18: OS was installed. Windows 10. 
10/24/18: Good
10/24/18: Good
10/24/18: Approved by supereduardus",hp prodesk 600 g1 twr Desktop,D5118005,2000
9/2/18,3618010A,5,"10/17/18: Did not complete task
10/24/18: Mac OS installed
10/24/18: ready to be donated",Apple A1311 Desktop,,2000
9/2/18,3618011A,5,"9-26-18: OS installed
10/17/18: In progress
10/24/18: None
10/24/18: Verified by Edward",Apple A1278 Macbook,,2000
9/2/18,3618012A,5,"9/26/18: Installing OS RN
10/17/18: None
10/24/18: Verified
10/24/18: Liam and Kaden paired this computer along with 12 other computers with chargers, and then taped and labeled them in about 40 minuets.",Apple1278 Macbook,,2000
9/2/18,3618013A,4,"10/24/18: Needs to Reboot and possibly preform another hard drive wipe as OS may be corrupted
11/7/18: OS is installed
11/28/18: Missing
11/28/18: Found Device, Activated",Apple A1286,,1500
9/2/18,3618014A,5,"9/26/18: Works as of
10/3/18: YeeEEt
10/17/18: success :)
10/24/18: Verified",Apple A1278 Macbook,,2000
9/2/18,3618015A,-2,"10/3/18: Yes
10/3/18: Soldered cpus in salvage bin",Apple A1342,,1000
9/2/18,3618016A,-2,"10/3/18: (Gavin): It don't work. When trying to install OS. The disk is locked. Tried restoring it but still goes into Mac utilities. 
10/3/18: nope",Apples A1465,,2500
9/2/18,3618017I,5,"10/17/18: it's p good. safari is questionable though
11/7/18: cleaned it",Apple A1219 iPad,,1000
9/2/18,3618018I,-2,10/3/18: Leader told me to throw the entire iPad into salvage bin. I did,Apple A1219,,1000
10/14/18,4218001a,4,"10/24/18: OS needs to be installed
11/7/18: Needs more memory to install OS
11/8/18: Needs a working Yosemite install drive, ready to install OS now.
12/5/18: Installed
12/5/18: Activated",Apple Desktop A1224,,
10/14/18,4218002W,-2,"10/24/18: No display
11/7/18: Salvaged ram, hdd, and cpu
11/8/18: was salvaged before I found it",HP Pavillion a6200n PC,,
10/14/18,4218003A,5,"10/24/18: OS activated
10/31/18: Yuh",AP desktop A1224,,
10/14/18,4218004A,4,"10/31/18: Turns on, needs OS 2, has flashing file with question mark upon startup
12/3/18: Did the setting up your Mac step",Apple Desktop A1418,,
10/14/18,4218005W,5,"11/1/18: It works
11/8/18: chrome book",Toshiba CB35-B3330 chromebook 2,,
10/14/18,4218006W,3,"10/24/18: Status: on rack
10/31/18: Out of battery right now 
11/8/18: All good",Dell Inspirton 1545,,
10/14/18,4218007A,-2,"10/24/18: Doesn't turn on
10/31/18: Got RAM and Hard Drive",Apple Macbook Pro A1278,,
10/14/18,4218008W,5,"10/24/18: N/A
10/31/18: Os is activate
11/7/18: Screen is not centered",Compaq CQ5210Y Desktop,D5118005,
10/14/18,4218009W,-2,11/7/18: none,HP Compaq ms6000,,
10/14/18,4218010W,1,"10/24/18: Need charger for Chromebook 
11/28/18: Missing
11/28/18: Charger was not found, computer won't turn on.",Asus C201P notebook,,
11/4/18,4518001I,5,11/28/18: Device has been set up (IN ENGLISH) and works perfectly (no passcode),Apple ipad A1458,,
11/4/18,4518002A,0,"11/28/18: Mark Kaplan owned this computer and has a folder labeled ‘Katy perry’
12/5/18: cant install os
1/9/19: Can't find",Apple laptop a1133,,
11/4/18,4518003A,2,"12/3/18: os being installed, left out on table
12/5/18: OS needs to be installed",Apple desktop a1278,,
11/4/18,4518004A,4,"11/28/18: Turns on
12/5/18: Installed OS and activated 
12/5/18: Had to wipe previous user data in order to install new OS",Apple desktop a1312,,
11/4/18,4518005A,0,12/5/18: This is a monitor not regular desktop (needs desktop to connect),Apple desktop A1316,,
11/4/18,4518006W,2,"11/28/18: Need os installed
12/5/18: No driver detected
12/12/18: Update OS to Win10",Dell inspiron 537S desktop,,
11/4/18,4518007W,1,"11/28/18: Needs os
12/5/18: OS could not be installed","Acerpower  fh desktop 
",,
11/4/18,4518008W,1,"12/5/18: No OS found, possible dead HDD
12/12/18: It just needs some simple setup and troubleshooting to work. I installed the missing hard drive and removed the friend CD box.",Lenovo ibm thinkcentre zk5 desktop,,
11/4/18,4518009W,-2,"11/28/18: Needs OS
12/5/18: Need OS install (CD)
12/12/18: Horribly slow and won’t boot from usb
1/16/19: Completed salvage successfully.
1/16/19: I can't find it
1/16/19: Update on this computer: it was in the pile, someone forgot to log it",HP Compaq DXX2300 microtower desktop,,
11/4/18,4518010W,0,"11/28/18: Bad hard drive
12/5/18: HDD installed
12/5/18: Installed Hard Drive and replaced RAM
12/12/18: Does not post",HP Pavillion 6535 desktop,,
11/4/18,4518011W,0,"12/5/18: Doesn’t acknowledge usb drive
12/12/18: Doesnt exist",Lenovo IBM Thnkcentre sk5 desktop,,
11/11/18,4618001W,2,"11/28/18: Needs os install.
12/5/18: Problems installing OS",Dell Dimension 2400 Desktop,,
11/11/18,4618002W,0,"11/28/18: No hard drive
12/12/18: Installed HDD",Dell Optiplex 740 Desktop,,
11/11/18,4618003W,1,"11/28/18: No OS, no hard drive
12/5/18: Needs OS install 
12/5/18: Needs OS install 
12/12/18: Ran into an error with the floppy disk drive upon startup each time
1/30/19: Floppy diskette failure",Dell Optiplex GX 620 Desktop,,
11/11/18,4618004W,3,"11/28/18: Lacks Hard drive. seems to need unique video cable
12/5/18: Put in hard drive. Not tested yet. Added a Gb of RAM.
12/12/18: Needs new hard drive:(
1/16/19: Install os
1/16/19: OS installed",HP Pavillion A1747C desktop computer,,
11/11/18,4618005W,1,11/28/18: This computer does not turn on,Dell Studio Slim 540s desktop,,
11/11/18,4618006W,3,"11/28/18: Lacks hard drive. couldnt boot for this reason. seems to work otherwise
12/12/18: Needs hard drive to be connected, but sata cable is too short.
12/12/18: HDD installed
1/9/19: OS installed, on getting ready screen",Dell Vostro 200,,
11/11/18,4618007A,2,"11/28/18: works but is a tad slow, also still logged in on previous owner login.",Apple Macbook A1181,,
11/11/18,4618008W,0,"11/28/18: OS needs to be installed 
11/28/18: Needs OS installation
12/12/18: No hard drive installed
1/16/19: Might need Graphics card, VGA port not working
1/16/19: Missing",Dell Optiplex 320,,
11/11/18,4618009W,0,"12/5/18: Refuses to display anything
1/9/19: Missing",HP Compaq NX7400 Laptop,,
11/11/18,4618010A,2,"11/28/18: won't turn on and key board N key has broken off and some letter keys have scrached off the letter name. 
1/9/19: World fine, needs data wiped",Apple Maxbook Model A1181,,
11/11/18,4618011W,4,"11/28/18: OS was not present when turned on
11/28/18: Boots to Vista Buisness
1/9/19: OS Activated",LEnovo ThinkCentre M58e 7279,,
11/11/18,4618012W,2,"12/5/18: Won’t turn on. Plugged into monitor but monitor stays black.
1/16/19: Yeet
1/16/19: Using windows XP. Says system voltage low
1/16/19: needs os update",Dell Optiplex GX520 Desktop,,
11/11/18,4618013W,3,"11/28/18: Works good
12/5/18: Runs very, very slow",HP Pavillion M9252p desktop,,
11/11/18,4618014W,3,"11/28/18: runs windows 7
1/16/19: None
1/16/19: OS was installed on the computer, needs to be activated",Dell Optiplex 7010,,
11/11/18,4618015W,3,"11/28/18: Has windows 7 professional installed, seems like the person who donated this attempted to wipe all of their data
12/5/18: Was already activated.
1/16/19: K",Dell Optiplex 7010 desktop,,
11/11/18,4618016W,4,12/5/18: Everything works,Sattellite L305-S5919,,
11/11/18,4618017W,0,"11/28/18: Refuses to turn on for any length of time. suspect battery damage
1/9/19: Unable to locate",Gateway Model 450Rog,,
11/11/18,4618018W,-2,"11/28/18: Will not display
1/16/19: Power supply wasn't working; no replacement; okayed by Simon",Dell Vostro 230,,
11/11/18,4618019W,4,"11/28/18: unable to find a suitable converter for one of the plugs because had a different port than the plug provided.
1/16/19: installed a vga card, needs os update
2/11/19: Needs GPU
2/26/19: None
3/13/19: Ready to donate",Dell XPS 410,,
11/11/18,4618020W,4,"11/28/18: Works
12/5/18: Worked without an issue, had to leave urgently so computer is sitting at the table.
1/9/19: Yes",Dell optiplex 380 dekstop,,
11/11/18,4618021W,5,"11/28/18: No display shown when computer connected
12/5/18: It didnt have any ram so we installed some ram
1/9/19: J
2/11/19: Working",Dell Optiplex 3010,,
11/11/18,4618022W,4,"11/28/18: not appropriate graphics cable
12/5/18: No graphics card
12/12/18: OS needs to be activated
2/11/19: :)",Dell optiplex 780 desktop,,
11/25/18,4818001W,0,"1/16/19: Laptop, AC Adapter missing
2/13/19: It's gone.
3/6/19: I don't know.  I never know. I big momma yeet yeet mtherfucker",Hp Pavillion dv9000 laptop,,
12/2/18,4918001W,0,"1/9/19: None
2/27/19: Chrome book. No suitable charger or OS.",HP chromebook 2 laptop,,
12/2/18,4918002A,-2,"1/16/19: The battery still works.
2/13/19: Too old to support any Mac operating systems we have on hand.
3/13/19: Someone already salvaged it, they just forgot to mark it as salvaged",Apple A1133 laptop,,
12/9/2018,5018001W,0,"1/9/19: computer works, can log in
1/16/19: Cannot find computer. Another computer exists with the ID 5018011w and isn't logged and doesnt have a sticker so maybe it was a misprint?
3/6/19: I can't find it","Computer works, can log in",,
12/9/2018,5018002W,0,"1/16/19: PC turns on but does not post
2/11/19: No os installed, using the new SSD because there is no HDD cage.
3/6/19: it's missing. glucoseguardiannplzhelp",Dell Inspiron 530,,
12/9/2018,5018003A,0,"1/16/19: would turn on after it being plugged in for a while and the apple loading screen would show, but would turn off whenever the cord was moved. screen too dim to see very clearly.
2/13/19: Screen won’t illuminate. Charger won’t light up. Fan runs.
2/27/19: Cannot find",Apple Macbook Air A1466,,
12/9/2018,5018004I,1,It will not charge,IPad 16GB A1416,,
12/9/2018,5018005W,3,"1/16/19: Windows 7 already installed. Needs Windows 10
1/30/19: Works, needs OS installed
3/13/19: Works, needs a product key
3/13/19: Windows 10 was already installed with correct binaryheart login info",N150 Plus,,
12/9/2018,5018006W,0,"1/9/19: Needs windows installed
1/30/19: Resolution is very small
2/11/19: need a product key
2/13/19: Unable to locate",Dell Vostro i3 3700,,
12/9/2018,5018007W,2,"1/16/19: computer turns on, can log in using ""guest user"" w/o password, OS is lubuntu
2/11/19: Crashes when trying to install OS. BIOS interface also really finicky. Might be a motherboard issue. We tried different USBs but none worked.
3/6/19: It works.",HP Pavillon g6,,
12/9/2018,5018008W,4,"2/11/19: N/A
3/6/19: OS installed
3/13/19: Ready to Donate",Samsung Series 5  Ultra NP540U3C,,
12/9/2018,5018009W,0,"2/13/19: Approved by Zuk
3/13/19: Missing",Toshiba Satellite R15-S822,,
12/9/2018,5018010W,0,"1/16/19: it's an old asus tablet laptop, we can't find the charger.
3/6/19: missing charger",ASUS Transformer Series TF101,,
12/9/2018,5018011W,1,"2/27/19: Ready for Windows 10
3/13/19: Tried resetting but wouldn’t work.","computer works, can log in",,
12/9/2018,5018012W,0,"1/16/19: I couldnt find it
2/13/19: Gone forever",Kindle Fire 7 with USB brick and cable,,
1/6/19,0219001W,2,"1/30/19: Very slow
2/11/19: missing
3/6/19: I found the missing device
3/13/19: Ready for Win10",Lenovo IdeaPad z575,,
1/6/19,0219002W,2,"2/13/19: Turns on, does not post",Dell DMC Desktop,,
1/6/19,0219003W,1,"1/16/19: Need to wipe hard drive
3/13/19: Gets stuck on loading data from windows flash drive. Probably cant run windows 10 anyway",Dell DMC Desktop,,
1/6/19,0219004W,2,3/6/19: Ready for Windows 10,Dell Optiplex  980,,
1/6/19,0219005W,-1,"2/13/19: Boots up but when restarted into startup window to install os doesn’t work 
3/13/19: Video ports do not work. Power supply and motherboard seem to have issues.",Dell Optiplex 980,,
1/6/19,0219006W,2,"2/26/19: Running windows 7, only bottom GPU works, green tint on display (could also be because of adapter train, however)",Dell Optiplex 980,,
1/6/19,0219007W,4,"1/16/19: Works, needs OS installed.
2/11/19: Needs a new graphics card(?)
3/6/19: Discovery: typing in product key listed on Windows 7 Pro sticker worked during activation!w0w",Dell Optiplex 990,,
1/6/19,0219008W,3,"1/16/19: works. needs OS installed
3/6/19: None",Dell Optiplex 990,,
1/6/19,0219011W,3,"1/30/19: Needs a new graphics card, VGA port won't work
2/11/19:  keyboard drivers appear to be out of date. So keyboard and mouse dont work. 
3/13/19: OS has been installed",Dell Optiplex 980,,
1/6/19,0219014W,0,,Dell Laptop PP08L,,
1/6/19,0219012W,0,,Gateway MFATXNIN ES3 3000 desktop,,
1/6/19,0219009W,2,"1/16/19: No video out
2/13/19: Needs to install OS","IBCM x Series 100 E4U
IBM x Series 100 E4U",,964
1/6/19,0219010W,3,"2/26/19: None.
3/13/19: None","Lenovo Thinsktation S30 4L0
Lenovo Thinkstation S30 4L0",,3171
1/6/19,0219013W,-2,1/16/19: Was almost completely empty upon induction. Only had a cd drive and some cables inside,HP Pavillion a250y,,
1/6/19,0219015W,0,2/27/19: I can't find it.,Dell studio 1537 PP33L,,60
1/6/19,0219016A,2,"2/13/19: It works.
2/26/19: Question mark folder pops up. Tried to install is through clicking on flash drive icon. Tried through bootup menu by pressing the install os option. Probably not supported on this old computer.
3/6/19: Currently running 10.6
3/13/19: I can’t install any of the versions of OS X we have, it requires an install disk",Apple laptop A1181,,880
1/6/19,0219017A,2,3/13/19: It works.,Apple laptop A1055,,68
2/24/19,0919001W,3,3/13/19: Installed a new SSD into it,HP ENVY dv7 Notebook PC,,
2/24/19,0919002W,0,,HP Probook 450 G6,,
3/10/19,1119002A,0,,iMac,,
3/10/19,1119003A,0,,iMac,,
